,Suburb,Address,Type,Method,SellerG,CouncilArea,Regionname,Rooms,Price,Distance,Postcode,Bedrooms,Bathroom,Car,Landsize,main_lat,main_lon,station,Distance_to_Station
0,Abbotsford,85 Turner St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1480000.0,2.5,3067.0,2.0,1.0,1.0,202.0,-37.7996,144.9984,Victoria Park,0.3517
1,Abbotsford,25 Bloomburg St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1035000.0,2.5,3067.0,2.0,1.0,0.0,156.0,-37.8079,144.9934,North Richmond,0.2531
2,Abbotsford,5 Charles St,h,SP,Biggin,Yarra City Council,Northern Metropolitan,3,1465000.0,2.5,3067.0,3.0,2.0,0.0,134.0,-37.8093,144.9944,North Richmond,0.1835
3,Abbotsford,40 Federation La,h,PI,Biggin,Yarra City Council,Northern Metropolitan,3,850000.0,2.5,3067.0,3.0,2.0,1.0,94.0,-37.7969,144.9969,Victoria Park,0.3523
4,Abbotsford,55a Park St,h,VB,Nelson,Yarra City Council,Northern Metropolitan,4,1600000.0,2.5,3067.0,3.0,1.0,2.0,120.0,-37.8072,144.9941,Collingwood,0.2971
5,Abbotsford,129 Charles St,h,S,Jellis,Yarra City Council,Northern Metropolitan,2,941000.0,2.5,3067.0,2.0,1.0,0.0,181.0,-37.8041,144.9953,Collingwood,0.1454
6,Abbotsford,124 Yarra St,h,S,Nelson,Yarra City Council,Northern Metropolitan,3,1876000.0,2.5,3067.0,4.0,2.0,0.0,245.0,-37.8024,144.9993,Collingwood,0.5433
7,Abbotsford,98 Charles St,h,S,Nelson,Yarra City Council,Northern Metropolitan,2,1636000.0,2.5,3067.0,2.0,1.0,2.0,256.0,-37.806,144.9954,Collingwood,0.2178
8,Abbotsford,10 Valiant St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1097000.0,2.5,3067.0,3.0,1.0,2.0,220.0,-37.801,144.9989,Victoria Park,0.4339
9,Abbotsford,40 Nicholson St,h,VB,Nelson,Yarra City Council,Northern Metropolitan,3,1350000.0,2.5,3067.0,3.0,2.0,2.0,214.0,-37.8085,144.9964,North Richmond,0.3805
10,Abbotsford,45 William St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1172500.0,2.5,3067.0,2.0,1.0,1.0,195.0,-37.8084,144.9973,North Richmond,0.4565
11,Abbotsford,16 William St,h,S,Jellis,Yarra City Council,Northern Metropolitan,2,1310000.0,2.5,3067.0,2.0,1.0,2.0,238.0,-37.809,144.9976,North Richmond,0.459
12,Abbotsford,42 Henry St,h,S,Jellis,Yarra City Council,Northern Metropolitan,3,1200000.0,2.5,3067.0,3.0,2.0,1.0,113.0,-37.8056,144.993,Collingwood,0.1344
13,Abbotsford,78 Yarra St,h,S,LITTLE,Yarra City Council,Northern Metropolitan,3,1176500.0,2.5,3067.0,2.0,1.0,1.0,138.0,-37.8021,144.9965,Victoria Park,0.3539
14,Abbotsford,196 Nicholson St,h,S,Collins,Yarra City Council,Northern Metropolitan,3,955000.0,2.5,3067.0,3.0,1.0,0.0,183.0,-37.8022,144.9975,Victoria Park,0.4149
15,Abbotsford,42 Valiant St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,890000.0,2.5,3067.0,2.0,1.0,1.0,150.0,-37.8011,145.0004,Victoria Park,0.5602
16,Abbotsford,3/72 Charles St,h,PI,Kay,Yarra City Council,Northern Metropolitan,4,1330000.0,2.5,3067.0,4.0,2.0,2.0,780.0,-37.8073,144.9952,Collingwood,0.3322
17,Abbotsford,138/56 Nicholson St,u,S,Jellis,Yarra City Council,Northern Metropolitan,3,1090000.0,2.5,3067.0,3.0,2.0,2.0,4290.0,-37.8078,144.9965,North Richmond,0.4291
18,Abbotsford,52a William St,h,PI,Biggin,Yarra City Council,Northern Metropolitan,2,1100000.0,2.5,3067.0,2.0,2.0,1.0,124.0,-37.8079,144.9977,Collingwood,0.5101
19,Abbotsford,49 Park St,h,S,Marshall,Yarra City Council,Northern Metropolitan,2,1315000.0,2.5,3067.0,2.0,1.0,0.0,147.0,-37.808,144.994,North Richmond,0.2634
